id,Level,asdf_id,gqid,shapeGroup,shapeID,shapeName,shapeType
"67",ADM2,"67","67",MEX,MEX-ADM2-50627088B84941331,Tlatlaya,ADM2
"68",ADM2,"68","68",MEX,MEX-ADM2-50627088B35675419,Toluca,ADM2
"69",ADM2,"69","69",MEX,MEX-ADM2-50627088B93294132,Tonatico,ADM2
"70",ADM2,"70","70",MEX,MEX-ADM2-50627088B34234392,Valle de Bravo,ADM2
"71",ADM2,"71","71",MEX,MEX-ADM2-50627088B34457204,Villa de Allende,ADM2
"72",ADM2,"72","72",MEX,MEX-ADM2-50627088B41115503,Villa del Carbón,ADM2
"73",ADM2,"73","73",MEX,MEX-ADM2-50627088B72108870,Villa Guerrero,ADM2
"74",ADM2,"74","74",MEX,MEX-ADM2-50627088B66115533,Villa Victoria,ADM2
"75",ADM2,"75","75",MEX,MEX-ADM2-50627088B2529101,Xonacatlán,ADM2
"76",ADM2,"76","76",MEX,MEX-ADM2-50627088B91245167,Zacazonapan,ADM2
"77",ADM2,"77","77",MEX,MEX-ADM2-50627088B4296135,Zacualpan,ADM2
"78",ADM2,"78","78",MEX,MEX-ADM2-50627088B71904554,Zinacantepec,ADM2
"79",ADM2,"79","79",MEX,MEX-ADM2-50627088B63151821,Zumpahuacán,ADM2
"80",ADM2,"80","80",MEX,MEX-ADM2-50627088B22261618,Luvianos,ADM2
"81",ADM2,"81","81",MEX,MEX-ADM2-50627088B88262372,San José del Rincón,ADM2
"82",ADM2,"82","82",MEX,MEX-ADM2-50627088B37821102,Playas de Rosarito,ADM2
"83",ADM2,"83","83",MEX,MEX-ADM2-50627088B62998155,Tijuana,ADM2
"84",ADM2,"84","84",MEX,MEX-ADM2-50627088B68035711,Ensenada,ADM2
"85",ADM2,"85","85",MEX,MEX-ADM2-50627088B96202933,Mexicali,ADM2
"86",ADM2,"86","86",MEX,MEX-ADM2-50627088B22542526,Tecate,ADM2
"87",ADM2,"87","87",MEX,MEX-ADM2-50627088B57222033,Loreto,ADM2
"88",ADM2,"88","88",MEX,MEX-ADM2-50627088B52074308,Mulegé,ADM2
"89",ADM2,"89","89",MEX,MEX-ADM2-50627088B42799136,Comondú,ADM2
"90",ADM2,"90","90",MEX,MEX-ADM2-50627088B18768827,La Paz,ADM2
"91",ADM2,"91","91",MEX,MEX-ADM2-50627088B54589597,Los Cabos,ADM2
"92",ADM2,"92","92",MEX,MEX-ADM2-50627088B38210699,Carmen,ADM2
"93",ADM2,"93","93",MEX,MEX-ADM2-50627088B41163353,Palizada,ADM2
"94",ADM2,"94","94",MEX,MEX-ADM2-50627088B54767214,Calkiní,ADM2
"95",ADM2,"95","95",MEX,MEX-ADM2-50627088B96493612,Hecelchakán,ADM2
"96",ADM2,"96","96",MEX,MEX-ADM2-50627088B34111410,Campeche,ADM2
"97",ADM2,"97","97",MEX,MEX-ADM2-50627088B14383696,Candelaria,ADM2
"98",ADM2,"98","98",MEX,MEX-ADM2-50627088B16482460,Calakmul,ADM2
"99",ADM2,"99","99",MEX,MEX-ADM2-50627088B76744350,Escárcega,ADM2
"100",ADM2,"100","100",MEX,MEX-ADM2-50627088B34918004,Tenabo,ADM2
"101",ADM2,"101","101",MEX,MEX-ADM2-50627088B93634736,Hopelchén,ADM2
"102",ADM2,"102","102",MEX,MEX-ADM2-50627088B45888546,Champotón,ADM2
